# Minimal Reproduction Dataset Exported from LATOOLS on 2018:04:13 10:02:16
# Analysis described in '../analysis.log'
# Run latools.reproduce to import analysis.
#
# Sample: STD-2
# Analysis Time: 2015-10-29 15:25:12
Time,Al27,Ba137,Ba138,Ca43,Ca44,Mg24,Mg25,Mn55,Sr88
62.134,2979377.8,62005.2,387313.02,92074.34,1450641.73,144584.3,17433.53,330616.17,499874.23
62.491,2979377.8,62005.2,387313.02,92074.34,1450641.73,144584.3,17433.53,326388.1,499874.23
62.848,2979377.8,62005.2,387313.02,92074.34,1450641.73,140653.0,17433.53,319664.05,499874.23
63.205,2979377.8,61189.63,387313.02,92074.34,1441715.0744000003,140653.0,17433.53,320427.94,494532.0632
63.562,2979377.8,61189.63,382036.8480000001,90466.0,1426319.5284000002,140249.87,17433.53,313452.4,492134.686
63.919,2968192.1495999997,61189.63,374122.59,90466.0,1410923.9824000003,137267.45560000002,17433.53,313452.4,480902.94
64.276,2961889.1633599997,57927.74,374122.59,90466.0,1373664.0,135816.538,17433.53,313452.4,475628.45560000004
64.633,2928402.982656,57927.74,369484.454,90466.0,1373664.0,129368.0,18534.64,305919.9,470158.89200000005
64.99,2887714.1146560004,57927.74,362527.25,88241.642,1364974.068672,128965.08,17883.98,305919.9,454042.82
65.347,2859560.44864,55293.62,358288.492,84570.04,1358414.04568,122821.9,17883.98,301911.37600000005,454042.82
65.704,2775933.46,55293.62,347556.21,84570.04,1345464.2976799998,122821.9,17883.98,295898.59,448636.36600000004
66.061,2775933.46,54616.35,344709.16,82225.836,1325431.5964,120479.68400000001,17108.22,295898.59,445726.08
66.418,2762109.8260000004,53086.29,332764.61,78709.53,1301137.086816,118179.1488,17108.22,288373.61,435327.29
66.775,2748286.1920000003,53086.29,332764.61,78709.53,1262937.14,113661.44,17108.22,285081.578,435327.29
67.132,2706815.29,53086.29,332764.61,78709.53,1262937.14,113661.44,16407.56,276381.04,435327.29
67.489,2706815.29,53086.29,332764.61,78709.53,1262937.14,113661.44,16407.56,276381.04,435327.29
67.846,2696032.57792,53086.29,332764.61,78709.53,1262937.14,113661.44,16407.56,276381.04,435327.29
68.202,2680030.2613600004,53086.29,332764.61,78709.53,1262937.14,113661.44,16407.56,276381.04,432010.62
68.56,2652649.484,51481.17,338927.25,78709.53,1262937.14,113661.44,16407.56,276381.04,425532.848
68.917,2611195.5779999997,49224.2,338927.25,79754.26800000001,1256346.978096,115305.25,16407.56,278565.53,419478.642
69.274,2557374.45072,49224.2,338927.25,79747.53,1247295.475408,115305.25,16217.420000000002,274858.326,405056.26
69.631,2499545.76,49224.2,335129.076,79747.53,1236989.79448,115305.25,15456.71,271953.852,405056.26
69.988,2422353.77,49224.2,328810.566,79747.53,1217679.62656,115305.25,14731.09,262214.0,400899.8340000001
70.345,2422353.77,49224.2,319936.38,77845.906,1185160.290368,115305.25,14731.09,261858.67,397070.32
70.702,2422353.77,47030.25,307334.7,77437.22,1159893.9174720002,113064.85200000001,14731.09,253840.97,392260.07
71.06,2402719.201552,47030.25,307334.7,72549.72,1110657.93,110824.45400000001,14380.81,253840.97,392260.07
71.417,2392317.9768,47030.25,301610.668,72549.72,1110657.93,104103.26,14380.81,253840.97,388290.77
71.774,2363505.94296,46441.06,293024.62,70039.54,1110657.93,104103.26,14380.81,253840.97,382336.82
72.131,2338735.73936,46441.06,293024.62,69002.11,1102626.0380000002,104103.26,14380.81,249833.53,382336.82
72.488,2289213.53,45162.48,293024.62,69002.11,1091190.26,104103.26,14380.81,245117.07,378573.6684000001
72.845,2289213.53,45162.48,293024.62,69002.11,1091190.26,102169.7208,14380.81,245117.07,376031.26
73.202,2277413.9277600003,45162.48,292019.32,69002.11,1091190.26,101240.514,13980.49,245117.07,369826.62200000003
73.559,2262817.8410400003,45162.48,287355.35,67496.27,1091190.26,97298.31,13980.49,244255.03,360124.19
73.916,2236814.4410400004,45162.48,282289.26,62946.07,1081877.8180000002,96594.48,13980.49,244255.03,354609.58
74.273,2206334.7130400003,43527.21280000001,267694.17,62946.07,1072565.3760000002,95186.94,13980.49,241711.82504000003,350692.8804000001
74.63,2159196.53,42826.384000000005,267694.17,62946.07,1044628.05,95052.89,13980.49,237362.84977600005,347438.69200000004
74.986,2136814.89,39698.28,267694.17,62946.07,1044628.05,94382.68,13755.31,230929.17777600006,336682.36
75.344,2126694.3424,39698.28,267694.17,62946.07,1044628.05,93678.98,13755.31,226067.51864000002,336682.36
75.701,2097889.8884000005,39698.28,267694.17,62946.07,1036075.044,92539.72,13755.31,212086.67,336784.38
76.058,2073561.7624000001,39146.95,267694.17,62611.54,1023218.97,92539.72,13755.31,213807.57,334812.47
76.415,2015174.26,39146.95,261024.74,62611.54,1023218.97,92539.72,13755.31,213807.57,334676.47
76.772,2015174.26,39146.95,261024.74,62611.54,1023218.97,92539.72,14355.79,213807.57,331549.19
77.129,2015174.26,39146.95,257949.44968000002,62611.54,1023218.97,92539.72,14355.79,213807.57,331583.15
77.486,2015174.26,39146.95,255827.532,61019.458,1015073.64624,92539.72,14185.66,213807.57,328075.3528
77.843,2015174.26,39146.95,250845.4964,59969.26,1002839.8562240002,90482.712,13905.43,211763.03000000003,326581.71400000004
78.2,2015174.26,38670.82,241311.77,57293.41,986037.374224,88150.88,13329.99,208038.16,319079.56
78.557,2009184.0780000002,38670.82,241311.77,55387.31,970195.3436800002,86643.52,13329.99,208038.16,319079.56
